1,89,90,87,96,26,61,21,Leo,阿根廷,94,94,77,95,71,88,86,97,90,92,87,96,92,87,90,95,95,85,67,73,59,88,48,22,93,92,75,97,13,28,26,6,11,15,14,8,左脚,5,4,4
2,90,93,82,90,33,80,27,CR,葡萄牙,94,94,85,94,88,83,88,91,81,76,77,93,89,91,89,96,63,94,95,92,80,92,63,29,95,85,85,95,22,31,23,7,11,15,14,11,右脚,5,4,5
3,86,85,84,91,25,67,18,迪巴拉,阿根廷,89,94,82,84,68,87,88,92,88,88,75,93,88,84,91,84,85,82,75,83,65,88,48,32,84,86,86,84,14,20,20,5,4,4,5,8,左脚,3,3,4
4,93,79,74,87,47,74,25,姆巴佩,法国,84,94,72,85,76,79,74,89,76,58,68,87,92,93,83,80,77,79,71,83,75,69,62,49,83,77,70,80,41,44,40,13,5,7,11,6,右脚,3,4,4
5,92,84,80,95,30,60,27,内马尔,巴西,92,93,75,88,62,82,83,96,82,84,75,95,94,90,96,88,82,80,61,78,53,78,56,36,90,83,81,92,21,24,33,9,9,15,15,11,右脚,5,5,5
6,90,85,87,93,58,88,0,德赫亚,西班牙,91,93,17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,40,64,12,38,30,12,68,40,64,13,21,13,90,85,87,88,93,右脚,4,3,1
7,85,91,77,88,52,87,0,奥布拉克,斯洛文尼亚,89,93,13,11,15,29,13,12,13,14,26,16,43,60,67,85,49,22,76,41,78,12,34,19,11,55,11,55,14,12,18,85,91,77,87,88,右脚,3,3,1
8,88,78,72,88,50,78,0,多纳鲁马,意大利,82,93,12,12,12,34,8,24,12,14,24,28,46,54,64,74,38,24,72,34,72,18,30,26,14,50,24,68,12,14,16,88,78,72,78,88,右脚,3,3,1
9,82,90,79,87,42,85,25,苏亚雷斯,乌拉圭,92,92,77,94,77,83,88,86,86,84,64,91,88,77,86,93,78,87,69,89,83,86,87,41,92,84,85,85,30,45,38,27,25,31,33,37,右脚,5,4,4
10,91,90,95,89,58,91,0,诺伊尔,德国,92,92,15,13,25,55,11,30,14,11,59,48,56,60,51,85,35,25,77,43,83,16,29,30,12,70,47,70,10,10,11,91,90,95,91,89,右脚,5,4,1
11,77,85,90,87,52,76,18,德布劳内,比利时,91,92,92,83,54,91,82,86,85,83,87,90,78,76,82,90,79,89,65,88,73,88,73,60,86,92,77,86,40,58,51,15,13,5,10,13,右脚,4,5,4
12,86,90,72,88,49,86,0,库尔图瓦,比利时,89,92,14,14,13,33,12,13,19,20,35,23,46,52,61,80,45,36,68,38,70,17,23,15,13,44,27,52,11,18,16,86,90,72,86,88,左脚,4,3,1
13,77,79,86,85,69,88,14,博格巴,法国,88,92,80,73,75,87,85,87,84,82,88,89,75,78,76,84,63,90,85,91,91,82,78,70,83,88,76,87,64,70,68,5,6,2,4,3,右脚,4,4,5
14,94,80,78,87,35,71,27,萨内,德国,85,92,83,80,72,79,72,88,82,68,64,85,93,95,90,80,82,85,66,83,70,77,59,32,84,81,67,78,26,32,35,8,12,9,9,14,左脚,2,3,3
15,83,45,61,64,84,79,5,瓦拉内,法国,85,92,36,40,83,75,42,57,46,54,76,77,80,85,58,81,47,52,80,68,85,53,77,82,44,56,43,82,84,86,85,11,11,9,5,14,右脚,3,3,2
16,84,82,83,84,39,61,27,阿森西奥,西班牙,84,92,81,82,50,84,79,85,83,76,82,86,85,84,78,78,76,86,58,74,61,87,45,45,77,84,62,83,29,42,39,13,9,6,12,10,左脚,3,3,4
17,91,76,75,89,33,56,23,登贝莱,法国,83,92,77,77,43,74,76,92,78,65,68,85,93,89,90,82,85,82,59,74,47,65,54,36,78,84,75,73,29,30,33,6,6,14,10,13,左脚,3,5,5
